"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73";"V74";"V75";"V76";"V77";"V78";"V79";"V80";"V81";"V82";"V83";"V84";"V85";"V86";"V87";"V88";"V89";"V90";"V91";"V92";"V93";"V94";"V95";"V96";"V97";"V98";"V99";"V100";"V101";"V102";"V103";"V104";"V105";"V106";"V107";"V108";"V109";"V110";"V111";"V112";"V113";"V114";"V115";"V116";"V117";"V118";"V119";"V120";"V121";"V122";"V123";"V124";"V125";"V126";"V127";"V128";"V129";"V130";"V131";"V132";"V133";"V134";"V135";"V136";"V137";"V138";"V139";"V140";"V141";"V142";"V143";"V144";"V145";"V146";"V147";"V148";"V149";"V150";"V151";"V152";"V153";"V154";"V155";"V156";"V157";"V158";"V159";"V160";"V161"
"sSmoothCapacity21";63690;63690;64966,5234375;67040,8740234375;69568,9888000488;72307,7798080444;75089,36442554;77801,4094275981;80372,2020857991;82759,3666969857;84941,3843493984;86911,2613967155;89083,2547954945;91752,1940700751;95064,5654604076;99093,907573725;103878,821267314;109442,361370536;115802,151939112;122975,866176516;130848,382756255;139266,299958469;148083,649933709;157181,210749175;166471,87999112;175899,128057181;185432,45210511;195061,957056111;204793,149303571;214642,401602464;224632,498413333;234790,221193;245144,837424306;255726,914729747;266567,291872871;277696,189814768;289142,486742258;300933,180284276;313093,210300383;325645,353516398;338610,189709405;352006,204852801;365850,069464178;380157,079612668;394941,70769003;410218,191886026;426001,095938031;442305,786903044;459148,801106309;476548,086902871;494523,130132576;513094,979867497;532286,197634791;552120,754113941;572623,895110431;593821,994885049;615742,41053974;638413,347429686;661863,742073071;686123,165976159;711221,75138777;737190,138285189;764059,440779155;791861,230458517;820627,533831686;850390,840857349;881184,121528161;913040,847551553;945995,016344634;980081,174813918;1015334,44071186;1051790,51973116;1089485,71688988;1128456,94114838;1168741,70255886;1210378,10155958;1253404,81027619;1297861,04587615;1343786,5361405;1391221,47747397;1440206,48557999;1490782,53899036;1542990,91557278;1596873,12205334;1652470,81649529;1709825,72357838;1768979,54243069;1829973,84668283;1892849,97634479;1957648,92105143;2024411,19418378;2093176,69735066;2163984,57470761;2236873,05659713;2311879,29201465;2389039,16943738;2468387,12559671;2549955,94182911;2633776,52770327;2719877,69169353;2808285,8987501;2899025,01470557;2992116,0375552;3087576,81575496;3185421,75379851;3285661,50546085;3388302,65523483;3493347,38863666;3600793,15221863;3710632,30430289;3822851,757638;3937432,61538144;4054349,80202548;4173571,69110956;4295059,73179991;4418768,07666353;4544643,21321828;4672623,60210045;4802639,32495327;4934611,74540128;5068453,18673193;5204066,6301534;5341345,4377311;5480173,10432011;5620423,04300009;5761958,40867798;5904631,9646452;6048285,996953;6192752,28149647;6337852,10866644;6483396,37033355;6629185,71376296;6775010,76681666;6920652,43847652;7065882,29831266;7210463,03802331;7354149,01758389;7496686,89786283;7637816,36079228;7777270,91732539;7914778,80247517;8050063,95571883;8182847,08397808;8312846,80325969;8439780,85387918;8563367,38300755;8683326,28709742;8799380,60558018;8911257,95610155;9018692,00050295;9121423,9297827;9219203,95540903;9311792,79362732;9398963,12883054;9480501,04166256;9556207,38731758;9625899,10949838;9689410,47571344;9746594,22003289;9797322,58008954;9841488,21599904
"sSmoothCapacity22";63690;63690;64966,5234375;67040,8740234375;69568,9888000488;72307,7798080444;75089,36442554;77801,4094275981;80372,2020857991;82759,3666969857;84941,3843493984;86911,2613967155;89083,2547954945;91752,1940700751;95064,5654604076;99093,907573725;103878,821267314;109442,361370536;115802,151939112;122975,866176516;130848,382756255;139266,299958469;148083,649933709;157181,210749175;166471,87999112;175899,128057181;185432,45210511;195061,957056111;204793,149303571;214642,401602464;224632,498413333;234790,221193;245144,837424306;255726,914729747;266567,291872871;277696,189814768;289142,486742258;300933,180284276;313093,210300383;325645,353516398;338610,189709405;352006,204852801;365850,069464178;380157,079612668;394941,70769003;410218,191886026;426001,095938031;442305,786903044;459148,801106309;476548,086902871;494523,130132576;513094,979867497;532286,197634791;552120,754113941;572623,895110431;593821,994885049;615742,41053974;638413,347429686;661863,742073071;686123,165976159;711221,75138777;737190,138285189;764059,440779155;791861,230458517;820627,533831686;850390,840857349;881184,121528161;913040,847551553;945995,016344634;980081,174813918;1015334,44071186;1051790,51973116;1089485,71688988;1128456,94114838;1168741,70255886;1210378,10155958;1253404,81027619;1297861,04587615;1343786,5361405;1391221,47747397;1440206,48557999;1490782,53899036;1542990,91557278;1596873,12205334;1652470,81649529;1709825,72357838;1768979,54243069;1829973,84668283;1892849,97634479;1957648,92105143;2024411,19418378;2093176,69735066;2163984,57470761;2236873,05659713;2311879,29201465;2389039,16943738;2468387,12559671;2549955,94182911;2633776,52770327;2719877,69169353;2808285,8987501;2899025,01470557;2992116,0375552;3087576,81575496;3185421,75379851;3285661,50546085;3388302,65523483;3493347,38863666;3600793,15221863;3710632,30430289;3822851,757638;3937432,61538144;4054349,80202548;4173571,69110956;4295059,73179991;4418768,07666353;4544643,21321828;4672623,60210045;4802639,32495327;4934611,74540128;5068453,18673193;5204066,6301534;5341345,4377311;5480173,10432011;5620423,04300009;5761958,40867798;5904631,9646452;6048285,996953;6192752,28149647;6337852,10866644;6483396,37033355;6629185,71376296;6775010,76681666;6920652,43847652;7065882,29831266;7210463,03802331;7354149,01758389;7496686,89786283;7637816,36079228;7777270,91732539;7914778,80247517;8050063,95571883;8182847,08397808;8312846,80325969;8439780,85387918;8563367,38300755;8683326,28709742;8799380,60558018;8911257,95610155;9018692,00050295;9121423,9297827;9219203,95540903;9311792,79362732;9398963,12883054;9480501,04166256;9556207,38731758;9625899,10949838;9689410,47571344;9746594,22003289;9797322,58008954;9841488,21599904
"sSmoothCapacity31";63690;63690;63690;63929,3481445312;64512,7592468262;65460,8022880554;66744,6105730534;68309,2519203946;70089,0314529953;72017,125946646;74031,2960873347;76076,9376364716;78108,3733415173;80166,1636141381;82338,5443246262;84724,6732875852;87418,9047162365;90505,1390695635;94055,8682509958;98133,2964425176;102791,278267642;108051,985359257;113904,669346609;120313,22820669;127225,974933406;134584,582131728;142331,05949275;150412,570607567;158784,330566669;167410,984079838;176266,874865331;185335,429280581;194608,20276416;204083,821762937;213766,901694214;223666,974852712;233797,452658098;244174,646548878;254816,871624265;265743,685126037;276975,24794923;288531,799529263;300433,250527426;312698,904078067;325347,311990805;338396,26118441;351862,873190963;365763,789956038;380115,414383602;394934,174394109;410236,782989502;426040,473078829;442363,193101704;459223,756451658;476641,943513336;494638,559437791;513235,453584152;532455,508013325;552322,602903893;572861,566498113;594098,116400247;616058,797960408;638770,924271304;662262,521116526;686562,279118149;711699,514376938;737704,138092015;764606,634986292;792438,049842279;821229,98106147;851014,579890054;881824,553794142;913693,172407332;946654,27449781;980742,274494793;1015992,1672568;1052439,52993857;1090120,52000188;1129071,8686033;1169330,86876653;1210935,35789917;1253923,69433933;1298334,7277114;1344207,76293541;1391582,51777002;1440499,07378101;1490997,82061801;1543119,39345789;1596904,60343757;1652394,36085767;1709629,590894;1768651,14151084;1829499,6832308;1892215,6003827;1956838,87342291;2023408,95190886;2091964,61769546;2162543,83792694;2235183,6074086;2309919,77996385;2386786,88841317;2465817,95285134;2547044,27694901;2630495,23206267;2716198,02900497;2804177,47740376;2894455,73266447;2987052,03064641;3081982,41026958;3179259,42438503;3278891,83936963;3380884,32404495;3485237,12867054;3591945,75492459;3701000,61795927;3812386,70180439;3926083,20959048;4042063,21027069;4160293,28373877;4280733,16646649;4403335,40001676;4528044,98502586;4654799,04348727;4783526,49240799;4914147,73214151;5046574,35292749;5180708,86338071;5316444,4448678;5453664,73588378;5592243,65068616;5732045,23655746;5872923,57414048;6014722,72531969;6157276,73310037;6300409,6778584;6443935,79419358;6587659,65241165;6731376,40838145;6874872,12515921;7017924,16934041;7160301,68458759;7301766,14419151;7442071,98385288;7580967,31512636;7718194,71915136;7853492,11941283;7986593,73133684;8117231,08554194;8245134,12054911;8370032,3397152;8491656,0261129;8609737,50805099;8724012,46693062;8834221,27818625;8940110,37518205;9041433,62514715;9137953,70555411;9229443,46879366;9315687,28259112;9396482,33336145;9471639,87962297
"sSmoothCapacity32";63690;63690;63690;63929,3481445312;64512,7592468262;65460,8022880554;66744,6105730534;68309,2519203946;70089,0314529953;72017,125946646;74031,2960873347;76076,9376364716;78108,3733415173;80166,1636141381;82338,5443246262;84724,6732875852;87418,9047162365;90505,1390695635;94055,8682509958;98133,2964425176;102791,278267642;108051,985359257;113904,669346609;120313,22820669;127225,974933406;134584,582131728;142331,05949275;150412,570607567;158784,330566669;167410,984079838;176266,874865331;185335,429280581;194608,20276416;204083,821762937;213766,901694214;223666,974852712;233797,452658098;244174,646548878;254816,871624265;265743,685126037;276975,24794923;288531,799529263;300433,250527426;312698,904078067;325347,311990805;338396,26118441;351862,873190963;365763,789956038;380115,414383602;394934,174394109;410236,782989502;426040,473078829;442363,193101704;459223,756451658;476641,943513336;494638,559437791;513235,453584152;532455,508013325;552322,602903893;572861,566498113;594098,116400247;616058,797960408;638770,924271304;662262,521116526;686562,279118149;711699,514376938;737704,138092015;764606,634986292;792438,049842279;821229,98106147;851014,579890054;881824,553794142;913693,172407332;946654,27449781;980742,274494793;1015992,1672568;1052439,52993857;1090120,52000188;1129071,8686033;1169330,86876653;1210935,35789917;1253923,69433933;1298334,7277114;1344207,76293541;1391582,51777002;1440499,07378101;1490997,82061801;1543119,39345789;1596904,60343757;1652394,36085767;1709629,590894;1768651,14151084;1829499,6832308;1892215,6003827;1956838,87342291;2023408,95190886;2091964,61769546;2162543,83792694;2235183,6074086;2309919,77996385;2386786,88841317;2465817,95285134;2547044,27694901;2630495,23206267;2716198,02900497;2804177,47740376;2894455,73266447;2987052,03064641;3081982,41026958;3179259,42438503;3278891,83936963;3380884,32404495;3485237,12867054;3591945,75492459;3701000,61795927;3812386,70180439;3926083,20959048;4042063,21027069;4160293,28373877;4280733,16646649;4403335,40001676;4528044,98502586;4654799,04348727;4783526,49240799;4914147,73214151;5046574,35292749;5180708,86338071;5316444,4448678;5453664,73588378;5592243,65068616;5732045,23655746;5872923,57414048;6014722,72531969;6157276,73310037;6300409,6778584;6443935,79419358;6587659,65241165;6731376,40838145;6874872,12515921;7017924,16934041;7160301,68458759;7301766,14419151;7442071,98385288;7580967,31512636;7718194,71915136;7853492,11941283;7986593,73133684;8117231,08554194;8245134,12054911;8370032,3397152;8491656,0261129;8609737,50805099;8724012,46693062;8834221,27818625;8940110,37518205;9041433,62514715;9137953,70555411;9229443,46879366;9315687,28259112;9396482,33336145;9471639,87962297
"aNonAdopters.sCumulativeAdopters";59940000;59934006;59928279,5505897;59914996,4854218;59892866,0868415;59863598,7623707;59829830,1099634;59793976,369878;59757716,8163882;59721876,6168498;59686913,0409419;59661565,4586506;59638426,4553353;59612920,4565656;59583623,6231357;59551152,8561676;59517326,6974216;59484540,5416675;59455306,6087946;59430543,0689477;59412152,9286489;59401933,5391043;59400946,6131295;59409298,5355718;59426216,3330102;59450284,806159;59479730,6196573;59512678,6622234;59547344,9313968;59582154,172298;59615810,9197725;59647314,7544981;59675941,7762557;59701209,5212994;59722835,9440916;59740698,4988978;59754796,4598158;59765218,6794599;59772114,8080477;59775671,8163311;59776095,7538002;59773597,9332371;59768384,650119;59760649,7295122;59750569,4085227;59738299,2062163;59723972,4906978;59707700,455451;59689573,1855203;59669661,4950581;59648019,2272019;59624685,7377848;59599688,3349281;59573044,5078954;59544763,8406162;59514849,5600057;59483299,7145674;59450108,0093643;59415264,3427639;59378755,1003703;59340563,2640765;59300668,3911191;59259046,5113682;59215669,98256;59170507,3341523;59123523,1218902;59074677,8075728;59023927,6721565;58971224,7652783;58916516,8904774;58859747,6227059;58800856,3529969;58739778,3542425;58676444,8617724;58610783,1626601;58542716,6882918;58472165,1055798;58399044,4031813;58323266,9701027;58244741,6650533;58163373,8758119;58079065,5686448;57991715,328451;57901218,3908054;57807466,6674238;57710348,7668081;57609750,0119593;57505552,4570886;57397634,905244;57285872,9287063;57170138,8939285;57050301,9926907;56926228,2810512;56797780,7275804;56664819,2722862;56527200,8975787;56384779,7125677;56237407,0519552;56084931,5907585;55927199,4760855;55764054,4771741;55595338,1549012;55420890,0519569;55240547,9048691;55054147,8790439;54861524,8279564;54662512,5775881;54456944,2371501;54244652,5370612;54025470,1950628;53799230,3112459;53565766,7926411;53324914,807877;53076511,2722485;52820395,363348;52556409,0672075;52284397,7546713;52004210,7874674;51715702,1531801;51418731,1280345;51113162,9660961;50798869,6131661;50475730,4433086;50143633,0155966;49802473,8482941;49452159,2073243;49092605,9054922;48723742,1085556;48345508,1438647;47957857,3069251;47560756,6608889;47154187,8236484;46738147,7368999;46312649,4112735;45877722,6413866;45433414,6844908;44979790,8962376;44516935,3170078;44044951,2022266;43563961,4901357;43074109,2006107;42575557,758814;42068491,2377478;41553114,5141328;41029653,3324839;40498354,2727777;39959484,6177195;39413332,1162996;38860204,6410922;38300429,7375785;37734354,0646584;37162342,7264588;36584778,4965179;36002060,9364331;35414605,4120779;34822842,011512;34227214,3697147;33628178,406251;33026200,9829059;32421758,4892042;31815342,3432128
"fReorderRate";6000;6599,4;7195,05375;7793,51943581194;8399,88398627991;9018,12609667399;9651,4013565667;10302,2626353259;10972,8277818591;11664,9051776231;12380,0862067493;13119,8123166119;13885,4243889165;14678,2311121244;15499,5035928052;16350,4782287474;17232,3690688391;18146,3849984084;19093,7485987379;20075,7145971664;21093,58655525;22148,7240269925;23242,5545307889;24376,5844860356;25552,4059699713;26771,698425882;28036,2260272716;29347,8322011564;30708,4329684618;32120,0105049846;33584,6078919544;35104,3255451333;36681,3195567322;38317,8018536542;40016,0419018285;41778,3696295882;43607,1792513164;45504,9337116642;47474,1695203807;49517,5018051094;51637,6294379411;53837,3401330617;56119,5154505874;58487,1356698082;60943,284513965;63491,1537212188;66134,0474655554;68875,3866389177;71718,713012609;74667,6933018838;77726,1231619962;80897,9311465019;84187,1826590579;87598,0839283137;91134,986032039;94802,3889918655;98604,9459544971;102547,467469503;106634,92586829;110872,4597439;115265,378526988;119819,167149921;124539,49078822;129432,199666661;134503,333915978;139759,128465259;145206,017954591;150850,641652167;156699,848359827;162760,701290746;169040,482902656;175546,699669478;182287,086773612;189269,612700227;196502,483713788;203994,148195752;211753,300820749;219788,88654681;228110,104393198;236726,410977215;245647,523779012;254883,42410094;264444,359685358;274340,846952097;284583,67281398;295183,896025916;306152,84802016;317502,133177391;329243,628480233;341389,482492881;353952,11360748;366944,207494941;380378,713694916;394268,841276812;408628,053500884;423470,061405789;438808,816246416;454658,500703449;471033,518783963;487948,484330478;505418,208054329;523457,683008005;542082,06841038;561306,671738487;581146,928999814;601618,383100065;622736,660223036;644517,444141743;666976,448383371;690129,386174964;713991,938102262;738579,717420675;763908,232965282;789992,849615892;816848,746283826;844490,871399168;872933,895890819;902192,163666977;932279,639620472;963209,855201987;994995,851624357;1027650,12078305;1061184,54400146;1095610,32873458;1130937,9433914;1167177,05046395;1204336,4381802;1242423,950928;1281446,41872791;1321409,5860642;1362318,0404146;1404175,14085071;1446982,94711126;1490742,14958058;1535452,00063204;1581110,24782281;1627713,06944958;1675255,01299565;1723728,93701619;1773125,95702191;1823435,39592878;1874644,73964463;1926739,59836036;1979703,67410458;2033518,73510471;2088164,59747526;2143619,11472431;2199858,17553256;2256855,71021516;2314583,7062254;2373012,23300113;2432109,47639022;2491841,78282027;2552173,7133017;2613068,10727221;2674486,15620557;2736387,48682012;2798730,25363257;2861471,24051285;2924565,97080578;2987968,82549835
"aIndustryShipments";101904;101904;102949,56347991;104811,847510688;107318,621649332;110342,167679508;113789,205958046;117592,686080635;121705,211104089;126093,869837824;130736,263784763;135617,743885344;140734,500102188;146081,828021047;151655,445343563;157453,012643422;163474,917799921;169724,561051121;176208,3083473;182935,227890553;189915,582034038;197161,60463442;204687,347370266;212508,021915745;220639,19891569;229096,114648215;237893,213848837;247043,954970026;256560,838812109;266455,592420154;276739,432400578;287423,367400945;298518,487064252;310036,20956154;321988,478343387;334387,909106105;347247,892906964;360582,663106306;374407,33507697;388737,923058181;403591,340657238;418985,390937177;434938,750525916;451470,950734894;468602,357674574;486354,152815068;504748,315203525;523807,606429521;543555,559296585;564016,470919865;585215,400682911;607178,173155461;629931,385739979;653502,420524374;677919,459604267;703211,50301293;729408,388355364;756540,811275508;784640,345965837;813739,465038012;843871,5581962;875070,949277774;907372,911338837;940813,67955736;975430,461800923;1011261,44675841;1048345,8095668;1086723,7148777;1126436,31730691;1167525,75919627;1210035,16559415;1254008,63633105;1299491,23503193;1346528,97487;1395168,80082806;1445458,56819525;1497447,01699048;1551183,74196888;1606719,1578359;1664104,45926476;1723391,57528753;1784633,11760778;1847882,32236359;1913192,98485344;1980619,38672364;2050216,21510501;2122038,47317717;2196141,3816321;2272580,27050385;2351410,46082882;2432687,1356012;2516465,19949095;2602799,12679824;2691742,79712834;2783349,31828571;2877670,83590615;2974758,32937165;3074661,3935856;3177428,00622645;3283104,28014668;3391734,20064247;3503359,34738796;3618018,6009075;3735747,83355079;3856579,58504004;3980542,72277534;4107662,08721612;4237958,12280219;4371446,49503835;4508137,69454258;4648036,62904837;4791142,20455784;4937446,89706278;5086936,31648543;5239588,76473849;5395374,79006342;5554256,74007602;5716188,31622621;5881114,13266286;6048969,28278112;6219678,91701606;6393157,83572838;6569310,10130097;6748028,67382543;6929195,07499835;7112679,08506434;7298338,47782887;7486018,79891366;7675553,1925335;7866762,28212924;8059454,11019073;8253424,14253913;8448455,3422032;8644318,31781441;8840771,55115385;9037561,70810751;9234424,03682019;9431082,8562819;9627252,13793129;9822636,1821213;10016930,3904642;10209822,1341615;10400991,7174359;10590113,4341261;10776856,7143925;10960887,3573227;11141868,8440441;11319463,7247491;11493335,0718533;11663147,9903429;11828571,1752556;11989278,5051974;12144950,6598492;12295276,7485834;12439955,9366103;12578699,0545326;12711230,176813;12837288,1544768;12956628,0873823;13069022,7216163;13174263,7579994
"fIndustryOrderRate";101904;106086,25391964;110398,699603021;114838,944065265;119412,805770034;124130,320793659;129003,126448405;134042,78617445;139259,84603903;144663,445625579;150262,184187089;156084,768752717;162123,811777624;168376,297311112;174845,714543;181540,633269417;188473,49080472;195659,550235839;203115,986520311;210856,644464492;218899,672435566;227264,575577804;235970,045552182;245032,729915524;254466,86184579;264284,511450704;274496,178333592;285111,490338359;296139,853244286;307590,952341852;319475,172402046;331803,846054174;344589,377053402;357845,284688929;371586,201394257;385827,844309542;400586,97370433;415881,350988965;431729,687001811;448151,593454412;465167,541776994;482798,829292131;501067,55136183;519996,578493612;539609,538236553;559930,802368895;580985,48010751;602799,417897776;625399,205789706;648812,189972047;673066,49057311;698191,023493533;724215,524877561;751170,576843946;779087,633238917;807999,044382665;837938,080035942;868938,950036824;901036,822254535;934267,837670765;968669,122522495;1004278,79752203;1041135,98421293;1079280,80853161;1118754,40163088;1159598,89799195;1201857,43081041;1245574,12459455;1290794,08486434;1337563,38478781;1385929,04854174;1435939,03113455;1487642,19438422;1541088,27870225;1596327,87029683;1653412,36337616;1712393,91690408;1773325,40543696;1836260,36355135;1901252,92335584;1968357,74456851;2037629,93663103;2109124,97232298;2182898,59233424;2259006,70024913;2337505,24739366;2418450,10699689;2501896,93711908;2587901,03180374;2676517,15991835;2767799,3911602;2861800,90872011;2958573,80811862;3058168,88175784;3160635,38876748;3266020,80976813;3374370,58622745;3485727,84414901;3600133,10190737;3717623,96212984;3838234,78762444;3961996,3614661;4088935,53148068;4219074,8395078;4352432,13598123;4489020,18053848;4628846,22956038;4771911,61174682;4918211,29305527;5067733,43256576;5220458,93108626;5376360,9745776;5535404,57475338;5697546,10949766;5862732,8660382;6030902,59011381;6201983,0446768;6375891,58197282;6552534,73313588;6731807,8197209;6913594,59186533;7097766,89801874;7284184,39139879;7472694,27851711;7663131,11526232;7855316,65612246;8049059,76216804;8244156,37339303;8440389,55091644;8637529,59437522;8835334,23958432;9033548,94119542;9231907,24464802;9430131,25117219;9627932,17896846;9825011,02295824;10021059,314667;10215759,9828794;10408788,3146913;10599813,0154929;10788497,3652534;10974500,467259;11157478,5841969;11337086,5551916;11512979,2861134;11684813,3042082;11852248,366864;12014949,1131659;12172586,7458119;12324840,7299938;12471400,4950226;12611967,1238046;12746255,0147861;12873993,500691;12994928,4082993;13108823,5436543;13215462,0874681;13314647,8860989;13406206,6243182;13489986,8671487;13565863,2795853
"aIndustryVolume";101904;106086,25391964;110398,699603021;114838,944065265;119412,805770034;124130,320793659;129003,126448405;134042,78617445;139259,84603903;144663,445625579;150262,184187089;156084,768752717;162123,811777624;168376,297311112;174845,714543;181540,633269417;188473,49080472;195659,550235839;203115,986520311;210856,644464492;218899,672435566;227264,575577804;235970,045552182;245032,729915524;254466,86184579;264284,511450704;274496,178333592;285111,490338359;296139,853244286;307590,952341852;319475,172402046;331803,846054174;344589,377053402;357845,284688929;371586,201394257;385827,844309542;400586,97370433;415881,350988965;431729,687001811;448151,593454412;465167,541776994;482798,829292131;501067,55136183;519996,578493612;539609,538236553;559930,802368895;580985,48010751;602799,417897776;625399,205789706;648812,189972047;673066,49057311;698191,023493533;724215,524877561;751170,576843946;779087,633238917;807999,044382665;837938,080035942;868938,950036824;901036,822254535;934267,837670765;968669,122522495;1004278,79752203;1041135,98421293;1079280,80853161;1118754,40163088;1159598,89799195;1201857,43081041;1245574,12459455;1290794,08486434;1337563,38478781;1385929,04854174;1435939,03113455;1487642,19438422;1541088,27870225;1596327,87029683;1653412,36337616;1712393,91690408;1773325,40543696;1836260,36355135;1901252,92335584;1968357,74456851;2037629,93663103;2109124,97232298;2182898,59233424;2259006,70024913;2337505,24739366;2418450,10699689;2501896,93711908;2587901,03180374;2676517,15991835;2767799,3911602;2861800,90872011;2958573,80811862;3058168,88175784;3160635,38876748;3266020,80976813;3374370,58622745;3485727,84414901;3600133,10190737;3717623,96212984;3838234,78762444;3961996,3614661;4088935,53148068;4219074,8395078;4352432,13598123;4489020,18053848;4628846,22956038;4771911,61174682;4918211,29305527;5067733,43256576;5220458,93108626;5376360,9745776;5535404,57475338;5697546,10949766;5862732,8660382;6030902,59011381;6201983,0446768;6375891,58197282;6552534,73313588;6731807,8197209;6913594,59186533;7097766,89801874;7284184,39139879;7472694,27851711;7663131,11526232;7855316,65612246;8049059,76216804;8244156,37339303;8440389,55091644;8637529,59437522;8835334,23958432;9033548,94119542;9231907,24464802;9430131,25117219;9627932,17896846;9825011,02295824;10021059,314667;10215759,9828794;10408788,3146913;10599813,0154929;10788497,3652534;10974500,467259;11157478,5841969;11337086,5551916;11512979,2861134;11684813,3042082;11852248,366864;12014949,1131659;12172586,7458119;12324840,7299938;12471400,4950226;12611967,1238046;12746255,0147861;12873993,500691;12994928,4082993;13108823,5436543;13215462,0874681;13314647,8860989;13406206,6243182;13489986,8671487;13565863,2795853
"fDiscardRate.sInstalledBase1";3000;3299,7;3597,526875;3896,75971790597;4199,94199313996;4509,063048337;4825,70067828335;5151,13131766297;5486,41389092956;5832,45258881153;6190,04310337466;6559,90615830595;6942,71219445824;7339,11555606222;7749,7517964026;8175,23911437372;8616,18453441957;9073,1924992042;9546,87429936893;10037,8572985832;10546,793277625;11074,3620134962;11621,2772653944;12188,2922430178;12776,2029849856;13385,849212941;14018,1130136358;14673,9161005782;15354,2164842309;16060,0052524923;16792,3039459772;17552,1627725667;18340,6597783661;19158,9009268271;20008,0209509142;20889,1848147941;21803,5896256582;22752,4668558321;23737,0847601904;24758,7509025547;25818,8147189706;26918,6700665309;28059,7577252937;29243,5678349041;30471,6422569825;31745,5768606094;33067,0237327777;34437,6933194589;35859,3565063045;37333,8466509419;38863,0615809981;40448,965573251;42093,591329529;43799,0419641568;45567,4930160195;47401,1944959327;49302,4729772486;51273,7337347513;53317,462934145;55436,2298719499;57632,689263494;59909,5835749603;62269,7453941098;64716,0998333305;67251,6669579889;69879,5642326294;72603,0089772955;75425,3208260836;78349,9241799134;81380,3506453731;84520,2414513278;87773,3498347388;91143,5433868062;94634,8063501134;98251,241856894;101997,074097876;105876,650410375;109894,443273405;114055,052196599;118363,205488607;122823,761889506;127441,71205047;132222,179842679;137170,423476048;142291,83640699;147591,948012958;153076,42401008;158751,066588696;164621,814240117;170694,74124644;176976,05680374;183472,103747471;190189,356847458;197134,420638406;204314,026750442;211735,030702895;219404,408123208;227329,250351725;235516,759391981;243974,242165239;252709,104027165;261728,841504003;271041,03420519;280653,335869244;290573,464499907;300809,191550033;311368,330111518;322258,722070871;333488,224191685;345064,693087482;356995,969051131;369289,858710337;381954,116482641;394996,424807946;408424,373141913;422245,435699584;436466,94794541;451096,081833489;466139,819810236;481604,927600994;497497,925812178;513825,060391527;530592,272000732;547805,164367292;565468,971695701;583588,525231973;602168,219090099;621211,975464001;640723,209363957;660704,793032099;681159,020207302;702087,570425353;723491,473555629;745371,074790291;767726,000316022;790555,123911403;813856,534724792;837627,506497825;861864,468508095;886562,978510955;911717,69796439;937322,369822314;963369,799180179;989851,83705229;1016759,36755236;1044082,29873763;1071809,55736215;1099929,08776628;1128427,85510758;1157291,8531127;1186506,11650057;1216054,73819511;1245920,89141013;1276086,85665085;1306534,05363611;1337243,07810279;1368193,74341006;1399365,12681629;1430735,62025643;1462282,98540289;1493984,41274917
