"","Scenario","MelhorEstrategia","CasoInteresse","sNPVProfit1RegretPerc","Lever","aFractionalDiscardRate","aReferenceIndustryDemandElasticity","aReferencePopulation","aInnovatorAdoptionFraction","aWOMStrength","aPopulation","aVolumeReportingDelay","aCapacityAcquisitionDelay","aSensOfAttractToAvailability","aSensOfAttractToPrice","aLCStrength","aRatioOfFixedToVarCost","aNormalProfitMargin","aNormalCapacityUtilization","aWeightOnSupplyLine","aSensOfPriceToCosts","aSensOfPriceToDSBalance","aSensOfPriceToShare","aTempoMedioRealizacaoPeD","aCustoMedioPatente","aTempoMedioAvaliacao","aTaxaRejeicao","aTempodeInutilizacaoPatente","aPerfSlope","aSensOfAttractToPerformance","aInitialReorderShare","aPercPeDAberto2","aPercPeDAberto3","aPercPeDAberto4","aOrcamentoPeD2","aOrcamentoPeD3","aOrcamentoPeD4","aDesiredMarketShare2","aDesiredMarketShare3","aDesiredMarketShare4","aSwitchForCapacityStrategy2","aSwitchForCapacityStrategy3","aSwitchForCapacityStrategy4"
"160",107,2,1,0.404643908286485,37,0.100527982781408,0.96209502626094,52745.7841845462,0.00414221206363756,1.27108465620957,284317.916927091,0.28861844912637,1.24423293128959,-4.14594144295435,-11.8212586629577,0.932522475763923,1.62037873446126,0.163834118473344,0.763955081464141,0.662745746024302,0.821591727854684,0.347266423344554,-0.0516909385832259,5.04330885290401,4426561.99085293,1.1068799499399,0.409790808302816,7.15604159507202,0.0177035523909532,-3.83431501523592,0.697619437930535,0.521611020865384,0.54403276025434,0.711959823351353,0.0782552364862058,0.0877265447082464,0.11109836542781,0.411594513168081,0.200290948225331,0.402076841081562,0.668930222604272,0.605375100851536,0.651804606814287
"161",107,8,1,0.404643908286485,37,0.100527982781408,0.96209502626094,52745.7841845462,0.00414221206363756,1.27108465620957,284317.916927091,0.28861844912637,1.24423293128959,-4.14594144295435,-11.8212586629577,0.932522475763923,1.62037873446126,0.163834118473344,0.763955081464141,0.662745746024302,0.821591727854684,0.347266423344554,-0.0516909385832259,5.04330885290401,4426561.99085293,1.1068799499399,0.409790808302816,7.15604159507202,0.0177035523909532,-3.83431501523592,0.697619437930535,0.521611020865384,0.54403276025434,0.711959823351353,0.0782552364862058,0.0877265447082464,0.11109836542781,0.411594513168081,0.200290948225331,0.402076841081562,0.668930222604272,0.605375100851536,0.651804606814287
"162",107,14,1,0.404643908286485,37,0.100527982781408,0.96209502626094,52745.7841845462,0.00414221206363756,1.27108465620957,284317.916927091,0.28861844912637,1.24423293128959,-4.14594144295435,-11.8212586629577,0.932522475763923,1.62037873446126,0.163834118473344,0.763955081464141,0.662745746024302,0.821591727854684,0.347266423344554,-0.0516909385832259,5.04330885290401,4426561.99085293,1.1068799499399,0.409790808302816,7.15604159507202,0.0177035523909532,-3.83431501523592,0.697619437930535,0.521611020865384,0.54403276025434,0.711959823351353,0.0782552364862058,0.0877265447082464,0.11109836542781,0.411594513168081,0.200290948225331,0.402076841081562,0.668930222604272,0.605375100851536,0.651804606814287
"163",108,2,0,0.0912640846398942,37,0.133338333407029,0.683178523926763,67625.3434582904,0.00119501534872223,0.483878582016332,123461.161350957,0.316084538661526,1.26586791566457,-4.88377803933807,-6.42110303768888,0.747372967779171,1.70807596562896,0.154437324660947,0.833073483926244,0.646130549569498,0.601769998103846,0.152975311023765,-0.0943588330324274,6.0722533363034,2803830.87330381,1.11483065397013,0.514897757391911,5.40543117728084,0.0489535363980103,-4.01611146452837,0.351337918900664,0.589614043525653,0.750547440348892,0.771690090574557,0.144750746317441,0.120925168795744,0.0813113120961934,0.333741161716892,0.22370589901926,0.374935517616686,1.28279043708355,1.93885212667814,0.731809444722172
"164",108,8,0,0.0912640846398942,37,0.133338333407029,0.683178523926763,67625.3434582904,0.00119501534872223,0.483878582016332,123461.161350957,0.316084538661526,1.26586791566457,-4.88377803933807,-6.42110303768888,0.747372967779171,1.70807596562896,0.154437324660947,0.833073483926244,0.646130549569498,0.601769998103846,0.152975311023765,-0.0943588330324274,6.0722533363034,2803830.87330381,1.11483065397013,0.514897757391911,5.40543117728084,0.0489535363980103,-4.01611146452837,0.351337918900664,0.589614043525653,0.750547440348892,0.771690090574557,0.144750746317441,0.120925168795744,0.0813113120961934,0.333741161716892,0.22370589901926,0.374935517616686,1.28279043708355,1.93885212667814,0.731809444722172
"165",108,14,0,0.0912640846398942,37,0.133338333407029,0.683178523926763,67625.3434582904,0.00119501534872223,0.483878582016332,123461.161350957,0.316084538661526,1.26586791566457,-4.88377803933807,-6.42110303768888,0.747372967779171,1.70807596562896,0.154437324660947,0.833073483926244,0.646130549569498,0.601769998103846,0.152975311023765,-0.0943588330324274,6.0722533363034,2803830.87330381,1.11483065397013,0.514897757391911,5.40543117728084,0.0489535363980103,-4.01611146452837,0.351337918900664,0.589614043525653,0.750547440348892,0.771690090574557,0.144750746317441,0.120925168795744,0.0813113120961934,0.333741161716892,0.22370589901926,0.374935517616686,1.28279043708355,1.93885212667814,0.731809444722172
"166",109,49,0,0.226106970080993,37,0.0770965651308264,0.651456764593022,63239.4394584117,0.00370752221176866,0.841698127132724,147704.094641065,0.332725638878619,1.00761553716846,-4.20270922007505,-10.5707271638513,0.732309893601574,2.33339704753482,0.116350160078262,0.783673273590743,0.688791893714806,1.03355888899649,0.328254062356718,-0.133040873105754,5.16760093780467,3265697.11841061,1.46048435961362,0.459669489871245,10.5946001069969,0.0194685200320868,-4.26143631958403,0.58660252581127,0.486579302813625,0.914028465159936,0.220255916941678,0.131524639672949,0.10747113930562,0.0751364985643886,0.361342311322765,0.181986772927106,0.373245994902006,2.13574097548045,0.844596065733337,1.08719541596312
"167",110,2,1,0.33520963264056,37,0.0870230068419672,0.0389834542199969,74946.9097174006,0.0030924924214161,1.34273350939667,268168.492082603,0.28687605322164,0.503585590217262,-4.05709945352282,-9.46446992588229,0.98071048705827,2.93668287985493,0.182358556599356,0.862389176719007,0.592596398944734,0.807537799732527,0.184197432639194,-0.0544273016788065,3.24837719974457,4167941.73560687,1.40191158957081,0.481097802226897,9.25289885188686,0.0334842046111201,-4.3554180077184,0.714898085142591,0.252242583299521,0.604640303237829,0.665116403289139,0.147994167712866,0.096406412238488,0.134055154274451,0.411808922057535,0.1865107037868,0.286100390106067,1.10615283614441,1.06656069144098,1.20931056465697
"168",110,8,1,0.33520963264056,37,0.0870230068419672,0.0389834542199969,74946.9097174006,0.0030924924214161,1.34273350939667,268168.492082603,0.28687605322164,0.503585590217262,-4.05709945352282,-9.46446992588229,0.98071048705827,2.93668287985493,0.182358556599356,0.862389176719007,0.592596398944734,0.807537799732527,0.184197432639194,-0.0544273016788065,3.24837719974457,4167941.73560687,1.40191158957081,0.481097802226897,9.25289885188686,0.0334842046111201,-4.3554180077184,0.714898085142591,0.252242583299521,0.604640303237829,0.665116403289139,0.147994167712866,0.096406412238488,0.134055154274451,0.411808922057535,0.1865107037868,0.286100390106067,1.10615283614441,1.06656069144098,1.20931056465697
"169",110,14,1,0.33520963264056,37,0.0870230068419672,0.0389834542199969,74946.9097174006,0.0030924924214161,1.34273350939667,268168.492082603,0.28687605322164,0.503585590217262,-4.05709945352282,-9.46446992588229,0.98071048705827,2.93668287985493,0.182358556599356,0.862389176719007,0.592596398944734,0.807537799732527,0.184197432639194,-0.0544273016788065,3.24837719974457,4167941.73560687,1.40191158957081,0.481097802226897,9.25289885188686,0.0334842046111201,-4.3554180077184,0.714898085142591,0.252242583299521,0.604640303237829,0.665116403289139,0.147994167712866,0.096406412238488,0.134055154274451,0.411808922057535,0.1865107037868,0.286100390106067,1.10615283614441,1.06656069144098,1.20931056465697
