Authors,Link
"Schwarz E.M., Krishnamurthy R.B., Parris C.J., Bradbury J.D., Nnebe I.M., Gschwind M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938935349&partnerID=40&md5=1fad346dfd7acdd0b6f5327c2bbf3b10"
"Wang L., Alexander C.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954326921&partnerID=40&md5=fea8059eafd0fc1b8297622e4602ffed"
"Ronowicz J., Thommes M., Kleinebudde P., Krysiński J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926679926&partnerID=40&md5=7af14579b9de83df5180f15fa0047227"
"Basole R.C., Russell M.G., Huhtamäki J., Rubens N., Still K., Park H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937791797&partnerID=40&md5=3c54ac25f2059a3153fc32c63a80c1e1"
"Maté A., Llorens H., De Gregorio E., Tardío R., Gil D., Muñoz-Terol R., Trujillo J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954501166&partnerID=40&md5=77f55dc024f3c1ad0db5877c61eb7cd9"
"Gillespie G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941732626&partnerID=40&md5=836cb7cfbd47e673a4f9d596fe0976ec"
"Schaaf R.C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953715876&partnerID=40&md5=2a7e0d2153000c737ce4a6c35d15413b"
"Rivera J., Delaney S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965101537&partnerID=40&md5=203a09bf568f7ae5554077ad1cd3f62f"
"Marshall A., Mueck S., Shockley R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942118849&partnerID=40&md5=70d71965281a989f9490c488d6aadd7f"
"Brown-Liburd H., Issa H., Lombardi D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943526799&partnerID=40&md5=576fe180228c3e2ef50b40cf1c9a847f"
"Power D.J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929630623&partnerID=40&md5=0a09a14948b9ef4d2219a7e9dbc60a6c"
"Nguyen H.T.H., Cao J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930864350&partnerID=40&md5=2fedf410e54b5c0e7f90724cb2c9f9a6"
"Shibata T., Kurachi Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928249660&partnerID=40&md5=974090a79646d1ebc19fddac6b35a1ca"
"De Buenaga M., Gachet D., Maña M.J., Mata J., Borrajo L., Lorenzo E.L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941210790&partnerID=40&md5=97a54bb3a1e8439205a633c05b730efc"
"Chen R.C., Gabriel P.E., Kavanagh B.D., McNutt T.R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969774580&partnerID=40&md5=601386c099e32e7481f234144fd9f3ff"
"Mallinger M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943778789&partnerID=40&md5=d0e28e25889117996cbe5c79d4648319"
"Bertei M., Marchi L., Buoncristiani D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969257664&partnerID=40&md5=2ca98501e01e8bbd42a593827d98494f"
"Moulik S., Misra S., Obaidat M.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937678777&partnerID=40&md5=49bac5ff2c1fb836a217cf57d11d9ab9"
"Santos P.P., Tavares A.O.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925448916&partnerID=40&md5=6b90dc822bf0f48202797b983cc8dc53"
