Title,Link
"Development of an agent-based model for regional market penetration projections of electric vehicles in the United States","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957076548&partnerID=40&md5=13eac538f2eaa321c8ed037306f6d9a8"
"Scenario Discovery with Multiple Criteria: An Evaluation of the Robust Decision-Making Framework for Climate Change Adaptation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975709121&partnerID=40&md5=b908afccb6a473dc56cce3b6209f8f7f"
"Barriers and opportunities for robust decision making approaches to support climate change adaptation in the developing world","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992217822&partnerID=40&md5=4e26e36de16227be3154a64ecc21d207"
"Social media: Strategic decision making tool","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981501196&partnerID=40&md5=17a7e80ed26a7972943e5f7ff32b355e"
"Frontiers of solution-oriented adaptation research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953350016&partnerID=40&md5=acb3d2ed9a6e09c95f8ea36c3c3a3afa"
"Flight crew response to unexpected events: A simulator experiment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985953092&partnerID=40&md5=342cb6cf8db9f4dfcada708496c67a1c"
"A conceptual framework for implementing exemplary academic integrity policy in Australian higher education","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978204067&partnerID=40&md5=34d8f1e5a09a9faba1feb6f53f15e75d"
"From statistical decision theory to robust optimization: A maximin perspective on robust decision-making","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978424178&partnerID=40&md5=793fa54c41ba31e702647e270157ead1"
"IGDT-based robust decision making applied to merchant-based transmission expansion planning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976906537&partnerID=40&md5=17d431fb4f97d370b4e6dc9e26f0f4a1"
"How robust is a robust policy? Comparing alternative robustness metrics for robust decision-making","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978429658&partnerID=40&md5=cbb527241cb67be7c55cbaff6599befb"
"Transferability of hydrological models and ensemble averaging methods between contrasting climatic periods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995550673&partnerID=40&md5=4c7894d64a5a447d4ffbabb816433aa5"
"Assessment of Sea-Level Rise Adaptations in Coastal Infrastructure Systems: Robust Decision Making under Uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976402537&partnerID=40&md5=e3539aa8723851da528d75a40d9348dd"
"Exploratory Topology Modelling of Form-active Hybrid Structures","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992364759&partnerID=40&md5=e848aedf03f3f8ac332b85628ec3da83"
"Higher order synergies among agents, simulation, and model-driven engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994568483&partnerID=40&md5=7084a17c4009eec66a2a47cb3aec4427"
"A distributed ensemble approach for mining healthcare data under privacy constraints","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949198542&partnerID=40&md5=5af34adc332b4246102a9b23b57741cd"
"Visualising formula structures to support exploratory modelling","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979620079&partnerID=40&md5=ae842c8f71387408d219c19a6e14249e"
"Persistence of immune responses to the HPV-16/18 AS04-adjuvanted vaccine in women aged 15-55 years and first-time modelling of antibody responses in mature women: Results from an open-label 6-year follow-up study","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920169510&partnerID=40&md5=190dc8aa8f17bbf552ce14244d7e54a9"
"Dealing with Uncertainties in Fresh Water Supply: Experiences in the Netherlands","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951856906&partnerID=40&md5=fef3607c67fca36a9a1166c53ac8da7f"
"An open source framework for many-objective robust decision making","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939535868&partnerID=40&md5=ac493b140ec32171879ec3994c2a272e"
"The latent state hazard model, with application to wind turbine reliability","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960465254&partnerID=40&md5=5fe09431832588e2bd4876c5d1a31cec"
"Discussion of ""Carbon benefits of wolfberry plantation on secondary saline land in Jingtai oasis, Gansu - A case study on application of the CBP model"" by Yaolin Wang, Chuanyan Zhao, Quanlin Ma, Yingke Li, Hujia Jing, Tao Sun, Eleanor Milne, Mark Easter, Keith Paustian, Hoi Wen Au Yong, John McDonagh (2015) [Journal of Environmental Manag","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941061686&partnerID=40&md5=87d6780badde378672c6f0d655a72599"
"Envisioning the future of water governance: A survey of central Arizona water decision makers","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925707964&partnerID=40&md5=cd791b2a773887b03d52ea22817fcf83"
