document id	author id	frequency
123	19017	7
123	19534	1
123	20164	1
123	22671	1
123	25044	3
124	4565	1
124	13806	1
127	1313	2
127	3075	2
127	7318	1
127	7703	1
127	9009	2
127	9219	1
127	9327	1
127	12129	1
127	13806	5
127	16860	1
127	17837	1
127	18816	1
127	20719	1
129	1313	1
129	13041	2
129	13165	2
129	13806	2
129	15055	1
129	17284	3
129	18816	1
129	19017	1
129	20988	1
129	23292	2
129	25044	1
130	2983	1
130	5710	1
130	9009	3
130	9210	1
130	9338	2
130	10815	1
130	13165	1
130	13806	3
130	19354	1
130	25044	1
132	2983	3
132	4565	1
132	5710	2
132	10815	2
132	13806	6
132	16860	1
132	19354	2
132	20719	2
134	1313	1
134	2983	1
134	3600	1
134	5710	4
134	7433	1
134	9210	1
134	9338	1
134	10815	3
134	13165	1
134	13806	3
134	17837	2
134	18816	1
134	19354	2
134	20225	1
134	20719	3
134	22742	4
134	24462	1
134	25044	1
135	23272	1
139	1769	12
139	1984	16
139	4022	2
139	17024	5
139	20397	8
139	21880	12
140	1313	1
140	2983	1
140	4565	1
140	5710	1
140	9009	3
140	9281	2
140	9327	1
140	9338	34
140	10815	1
140	11727	1
140	12641	1
140	13109	5
140	13806	7
140	13884	1
140	16860	1
140	18816	1
140	19354	7
140	19720	1
140	24064	2
140	24462	1
141	20988	1
142	9990	1
143	1984	2
143	21880	1
144	9990	1
146	5710	1
146	13806	1
146	20988	1
148	1768	2
148	20603	1
150	9134	1
150	14277	1
151	1313	2
151	5710	2
151	9009	1
151	10815	1
151	12094	2
151	12641	1
151	13296	8
151	13806	4
151	14206	5
151	16446	1
151	18816	2
151	19354	1
151	20225	1
151	25044	1
152	9009	1
152	9219	1
152	9327	1
152	12129	1
152	13806	2
152	20719	1
152	24462	1
156	9210	2
156	13165	2
156	15055	2
156	25044	3
159	2983	1
159	5710	1
159	9009	2
159	10815	2
159	13806	2
159	13884	1
159	16446	1
160	12290	3
161	1021	1
161	1313	4
161	2811	3
161	2983	1
161	3075	3
161	4565	1
161	7318	1
161	7703	2
161	9009	1
161	9210	1
161	9219	1
161	9338	2
161	9377	1
161	13165	5
161	13806	9
161	15055	1
161	18816	2
161	19017	3
161	22671	1
161	24252	2
161	25044	3
161	25156	1
161	26060	1
162	1313	5
162	1768	1
162	2983	4
162	3075	3
162	3600	1
162	3931	4
162	4565	1
162	7433	1
162	7703	1
162	9009	3
162	9219	1
162	9236	4
162	9281	1
162	9327	1
162	10027	1
162	11953	3
162	12129	1
162	12736	4
162	13806	12
162	18816	3
162	19534	11
162	20719	1
162	21909	1
164	1313	1
164	3075	1
164	4565	1
164	5710	1
164	7318	1
164	7703	1
164	9009	5
164	12641	2
164	13806	7
164	13884	5
164	15971	1
164	18816	1
164	20603	1
164	25685	2
164	26286	6
167	20460	1
169	4587	3
169	8298	1
169	13296	1
169	20164	1
169	26060	1
171	1313	2
171	3075	1
171	9009	1
171	12641	1
171	13806	3
171	18816	2
172	1768	1
173	14277	1
174	5710	3
174	9009	3
174	10815	4
174	13806	3
174	13884	1
174	22671	1
174	25685	4
174	26286	1
175	13041	2
175	23292	2
178	1768	2
178	3600	1
178	5710	2
178	7433	1
178	9210	1
178	10815	1
178	11727	1
178	13165	1
178	13806	1
178	14277	1
178	15055	1
178	16860	1
178	19354	1
178	20719	1
178	20807	1
178	24064	1
178	25017	1
178	25044	1
180	1313	1
180	3931	2
180	11953	3
180	13806	2
180	18816	1
180	19534	5
180	21909	1
182	3600	2
182	7433	1
182	10390	2
182	12436	21
182	14206	1
185	4022	1
187	25044	1
191	1021	1
191	13165	1
191	19017	1
195	1313	3
195	3075	1
195	13806	3
195	18816	2
195	24973	1
196	1021	1
196	1313	4
196	1769	1
196	1984	2
196	2983	2
196	3075	1
196	4565	1
196	5710	3
196	7318	1
196	7703	1
196	9009	3
196	9210	3
196	9219	2
196	9236	2
196	9327	3
196	9338	2
196	9377	1
196	10027	1
196	10390	1
196	10815	2
196	11953	2
196	12129	1
196	12736	2
196	13165	9
196	13806	14
196	15055	7
196	15971	1
196	17024	1
196	18816	2
196	19017	4
196	19534	4
196	20164	1
196	20719	1
196	21880	1
196	21909	1
196	22671	1
196	25017	1
196	25044	10
196	25685	1
198	12094	1
198	25017	1
199	1313	2
199	8940	1
199	13806	1
199	20988	1
200	3075	1
200	9009	1
200	9338	3
200	13806	4
200	16860	4
200	19720	2
200	24462	2
200	25156	2
205	1313	1
205	25685	1
206	1313	4
206	2811	1
206	3075	2
206	4565	1
206	7318	1
206	7703	1
206	9009	2
206	9948	1
206	13165	1
206	13806	6
206	18816	2
206	20225	1
206	25044	2
207	1021	1
207	1313	3
207	3075	1
207	4565	1
207	7318	1
207	7703	1
207	9009	4
207	9134	1
207	9219	2
207	9338	1
207	9377	1
207	10390	1
207	11953	1
207	12129	1
207	13165	2
207	13806	16
207	18816	2
207	19017	2
207	19534	1
207	24252	1
207	25156	1
208	8940	33
211	1313	3
211	9009	1
211	9377	2
211	13165	2
211	13806	3
211	18816	2
211	19017	4
211	22671	1
214	1313	2
214	13806	1
214	18816	1
214	20225	4
215	1768	4
215	19549	1
216	13296	3
216	14206	2
217	23317	1
218	12736	1
218	19534	1
219	1313	2
219	1769	3
219	1984	1
219	9009	2
219	13806	3
219	17024	3
219	18816	1
219	20164	1
219	20988	1
220	1313	1
220	1768	3
220	3075	1
220	4565	1
220	5710	1
220	7318	1
220	7703	1
220	9009	2
220	9327	1
220	10815	1
220	13806	6
220	16860	1
220	18816	2
220	20807	1
221	1313	1
221	3075	1
221	9009	3
221	12641	1
221	13806	2
221	18816	1
222	1313	3
222	2811	1
222	3075	2
222	7703	1
222	9009	2
222	9338	2
222	13806	6
222	16860	6
222	18816	1
222	19720	4
222	24462	4
222	25156	1
223	1313	2
223	2983	1
223	6186	17
223	12552	9
223	13806	1
223	14277	2
223	16446	1
223	18490	8
223	18816	1
224	21909	1
225	1021	1
225	1313	4
225	1768	1
225	3075	2
225	7318	1
225	7703	1
225	9009	2
225	12129	1
225	13165	1
225	13806	6
225	14277	1
225	15055	2
225	18816	3
225	22671	1
225	24252	1
225	25044	2
225	26060	2
226	1313	1
226	9009	1
226	13109	3
226	13806	1
226	18816	1
226	20807	1
226	25017	1
227	1313	3
227	2983	2
227	3075	3
227	3600	1
227	3931	5
227	7433	1
227	7703	1
227	9009	3
227	9219	1
227	9236	2
227	9281	2
227	9327	1
227	9948	1
227	10027	1
227	11727	1
227	11953	5
227	12129	1
227	12736	6
227	13806	10
227	13884	1
227	14277	1
227	18816	3
227	19534	13
227	20164	1
227	20603	1
227	23272	1
227	24973	1
228	20460	3
230	1768	1
230	18850	1
231	1313	3
231	1768	1
231	2811	1
231	3075	1
231	7318	1
231	7703	2
231	9009	2
231	9377	2
231	13165	5
231	13806	4
231	15055	2
